name,pro,address,year,taoshu,price
望城坡商贸城,岳麓小区,(岳麓河西人人乐)金桂路望城坡商贸城,暂无信息 ,0,5251
金丰小区,岳麓小区,(岳麓河西人人乐)麓天东路54号,2008年建成 ,1,5902
中国烟草望城区宿舍,岳麓小区,(岳麓汽车西站)岳麓大道771-773号,暂无信息 ,0,6008
望兴嘉年华,岳麓小区,(岳麓河西人人乐)麓景路129号,2012年建成 ,0,6184
金盛园,岳麓小区,(岳麓商学院)岳麓大道687号,2004年建成 ,1,6456
枫华府第,岳麓小区,(岳麓含浦)象嘴路368号,2015年建成 ,12,6517
红叶公寓小区,岳麓小区,(岳麓银盆岭)红叶公寓小区,暂无信息 ,0,6611
青青家园,岳麓小区,(岳麓麓谷西)雷锋大道青青家园,2008年建成 ,4,6627
佳远小区,岳麓小区,(岳麓汽车西站)远大一路794号,暂无信息 ,0,6815
银晟花园,岳麓小区,(岳麓河西人人乐)岳麓大道568号,2003年建成 ,4,6861
江山花园,岳麓小区,(岳麓银盆岭)铜盆湖路4号,暂无信息 ,1,7060
天麓尚层,岳麓小区,(岳麓麓谷西)雷锋大道609号,2014年建成 ,0,7102
西城公寓,岳麓小区,(岳麓麓谷西)雷锋大道7号,2006年建成 ,3,7108
欣胜园,岳麓小区,(岳麓河西人人乐)玉兰路17号,2007年建成 ,5,7174
品格家园,岳麓小区,(岳麓汽车西站)望新路186号,2006年建成 ,0,7197
江南公寓,岳麓小区,(岳麓商学院)桐梓坡路江南公寓,2005年建成 ,0,7267
原二鞋厂宿舍,岳麓小区,"(岳麓商学院)谷丰南路西原二鞋厂宿舍, 望岳路4号",2005年建成 ,0,7333
含浦家苑,岳麓小区,(岳麓含浦)象嘴路91号,2005年建成 ,0,7505
财富硅谷,岳麓小区,(岳麓银盆岭)银盆南路高新区火炬城,暂无信息 ,0,7559
锰业宿舍,岳麓小区,(岳麓溁湾镇)新民路108号,2003年建成 ,1,7563
欣欣新村,岳麓小区,(岳麓汽车西站)重阳路欣欣新村,暂无信息 ,2,7580
银洲公寓,岳麓小区,(岳麓银盆岭)咸嘉湖路银洲公寓,1996年建成 ,1,7606
少管所宿舍,岳麓小区,(岳麓麓谷西)岳麓大道少管所宿舍,暂无信息 ,2,7607
窑塘开发小区,岳麓小区,(岳麓商学院)望岳路窑塘开发小区,暂无信息 ,0,7658
涉外花园,岳麓小区,(岳麓枫林三路)枫林三路608号,2006年建成 ,3,7664
杜家塘小区,岳麓小区,(岳麓溁湾镇)月宫街17号,1999年建成 ,3,7831
阳光新城,岳麓小区,(岳麓观沙岭)杜鹃路199号,2006年建成 ,3,7838
罗马国际公寓,岳麓小区,(岳麓枫林三路)枫林三路,暂无信息 ,0,7863
望月湖小区一片区,岳麓小区,(岳麓溁湾镇)月华街19号,1990年建成 ,1,7866
望兴家园,岳麓小区,(岳麓汽车西站)枫林二路300号,2002年建成 ,3,7871
水木兰庭,岳麓小区,(岳麓河西人人乐)华兰路129号,2006年建成 ,10,7880
和馨园,岳麓小区,(岳麓东方红)谷苑路323号,2007年建成 ,3,7920
中南药机厂,岳麓小区,(岳麓银盆岭)御景路（景秀江山旁）,暂无信息 ,0,7923
工商银行宿舍,岳麓小区,(岳麓银盆岭)集贤路81号,暂无信息 ,1,7933
江山帝景哈佛,岳麓小区,(岳麓含浦)学士路99号,2014年建成 ,0,7934
麓谷沐春园,岳麓小区,(岳麓麓谷东)麓景路36号,2006年建成 ,4,7935
西雅公寓,岳麓小区,(岳麓桐梓坡)桐梓坡路123号,2011年建成 ,2,7945
湘仪家园南区,岳麓小区,(岳麓河西人人乐)湘仪路112号,2000年建成 ,1,7966
锑都家园,岳麓小区,(岳麓含浦)象嘴路96号,2006年建成 ,1,7995
靳江明珠,岳麓小区,(岳麓含浦)含浦中路139号,2007年建成 ,1,8029
金领公寓,岳麓小区,(岳麓麓谷西)桐梓坡西路259号,2011年建成 ,5,8037
裕园大厦,岳麓小区,(岳麓汽车西站)枫林二路378号,2003年建成 ,4,8061
科学村社区,岳麓小区,(岳麓河西大学城)麓山南路966号,1999年建成 ,0,8071
麓谷雅园,岳麓小区,(岳麓麓谷东)咸嘉湖西路409号,2005年建成 ,5,8113
旺佳园,岳麓小区,(岳麓河西人人乐)咸嘉湖西路308号,暂无信息 ,0,8116
公园尚,岳麓小区,(岳麓含浦)车塘河路90号,2013年建成 ,0,8144
航发锦绣家园,岳麓小区,(岳麓梅溪湖北岸)枫林三路217号,2003年建成 ,7,8160
桔洲印象,岳麓小区,(岳麓麓谷西)岳麓区桐梓坡西路与玉兰路交汇处西南角（人人乐超市对面）,2013年建成 ,0,8178
观枫园,岳麓小区,(岳麓溁湾镇)麓山路295号,2002年建成 ,1,8210
广厦新苑B区,岳麓小区,(岳麓汽车西站)麓山南路626号,2004年建成 ,0,8221
山水新城,岳麓小区,(岳麓河西人人乐)含光路西二环二段419号,2006年建成 ,0,8242
金峰小区北苑,岳麓小区,(岳麓河西人人乐)杜鹃路786号,2006年建成 ,1,8247
航天大院,岳麓小区,(岳麓梅溪湖北岸)枫林三路217号,1999年建成 ,4,8268
岳麓山庄,岳麓小区,(岳麓溁湾镇)石门楼街15号,1998年建成 ,0,8276
麓谷锦和园,岳麓小区,(岳麓枫林三路)麓云路120号,2007年建成 ,0,8293
新诚小区,岳麓小区,(岳麓观沙岭)岳华路1199号,2008年建成 ,0,8296
啤酒厂小区,岳麓小区,"(岳麓金星中路)金星中路199号, 黄泥岭6号",1983年建成 ,1,8361
兰亭居,岳麓小区,(岳麓汽车西站)重阳路154号,2002年建成 ,4,8372
国安局宿舍,岳麓小区,(岳麓河西步步高)岳麓大道国安局宿舍,暂无信息 ,0,8461
橘洲新苑,岳麓小区,(岳麓观沙岭)岳华路482号,2004年建成 ,5,8495
和园,岳麓小区,(岳麓商学院)象嘴路96号,2010年建成 ,4,8502
麓谷燕园,岳麓小区,(岳麓河西人人乐)咸嘉湖西路256号,暂无信息 ,1,8539
星语林阿普阿布,岳麓小区,(岳麓金星中路)咸嘉湖路910号,2013年建成 ,0,8561
湖南省中医药研究北院,岳麓小区,(岳麓桐梓坡)岳华路8号,暂无信息 ,1,8578
金科东方大院四期,岳麓小区,(岳麓麓谷西)尖山路399号,2015年建成 ,0,8598
四医院宿舍,岳麓小区,(岳麓溁湾镇)麓山路74号,2002年建成 ,2,8606
广厦新苑A区,岳麓小区,(岳麓汽车西站)南园路58号,2004年建成 ,4,8659
广厦新苑C区,岳麓小区,(岳麓汽车西站)广厦路与游园东路交叉口,2009年建成 ,1,8691
望月湖小区六片区,岳麓小区,(岳麓溁湾镇)望月湖路6号,1988年建成 ,1,8704
加州阳光东区,岳麓小区,(岳麓麓谷东)谷园路38号,2011年建成 ,2,8735
广泰锦苑,岳麓小区,(岳麓河西人人乐)含光路733号,2016年建成 ,11,8756
省工商局宿舍,岳麓小区,(岳麓岳麓山北)枫林一路423号,2000年建成 ,1,8802
金星公寓,岳麓小区,(岳麓市政府)金星中路459号,2003年建成 ,3,8825
望月湖小区三片区,岳麓小区,(岳麓溁湾镇)月宫街141号,1990年建成 ,1,8833
丽都桃源,岳麓小区,(岳麓河西人人乐)谷丰路与含光路交汇处,2012年建成 ,2,8839
望月湖小区十片区,岳麓小区,(岳麓溁湾镇)月宫街112号,1990年建成 ,1,8954
加州阳光西区,岳麓小区,(岳麓麓谷东)谷园路38号,2011年建成 ,9,8962
麓山润城,岳麓小区,(岳麓枫林三路)麓云路156号,2007年建成 ,4,8997
汽车发动机厂宿舍,岳麓小区,(岳麓桐梓坡)咸嘉湖路126号,暂无信息 ,0,8999
道路运政宿舍,岳麓小区,(岳麓溁湾镇)枫林一路367号,1999年建成 ,0,9009
盐业公司宿舍,岳麓小区,(岳麓溁湾镇)湘江中路盐业公司宿舍,2002年建成 ,1,9019
好家园,岳麓小区,(岳麓观沙岭)银盆北路682号,2009年建成 ,4,9023
时代天骄,岳麓小区,(岳麓河西人人乐)桐梓坡路39号,2004年建成 ,8,9028
丽臣宿舍,岳麓小区,(岳麓河西步步高)金星中路383号,2005年建成 ,0,9039
红泥山小区,岳麓小区,(岳麓溁湾镇)白沙液街157号,2000年建成 ,1,9051
