电影名,评分,链接
肖申克的救赎,9.6,https://movie.douban.com/subject/1292052/
霸王别姬,9.6,https://movie.douban.com/subject/1291546/
控方证人,9.6,https://movie.douban.com/subject/1296141/
美丽人生,9.5,https://movie.douban.com/subject/1292063/
辛德勒的名单,9.5,https://movie.douban.com/subject/1295124/
这个杀手不太冷,9.4,https://movie.douban.com/subject/1295644/
阿甘正传,9.4,https://movie.douban.com/subject/1292720/
十二怒汉,9.4,https://movie.douban.com/subject/1293182/
背靠背，脸对脸,9.4,https://movie.douban.com/subject/1307856/
灿烂人生,9.4,https://movie.douban.com/subject/1291831/
茶馆,9.4,https://movie.douban.com/subject/1461403/
新世纪福音战士剧场版：Air/真心为你,9.4,https://movie.douban.com/subject/1308892/
十二怒汉,9.4,https://movie.douban.com/subject/10583098/
摇滚莫扎特,9.4,https://movie.douban.com/subject/25754522/
泰坦尼克号,9.3,https://movie.douban.com/subject/1292722/
忠犬八公的故事,9.3,https://movie.douban.com/subject/3011091/
盗梦空间,9.3,https://movie.douban.com/subject/3541415/
千与千寻,9.3,https://movie.douban.com/subject/1291561/
机器人总动员,9.3,https://movie.douban.com/subject/2131459/
放牛班的春天,9.3,https://movie.douban.com/subject/1291549/
熔炉,9.3,https://movie.douban.com/subject/5912992/
大闹天宫,9.3,https://movie.douban.com/subject/1418019/
城市之光,9.3,https://movie.douban.com/subject/1293908/
福音战士新剧场版：破,9.3,https://movie.douban.com/subject/2567646/
星际穿越,9.2,https://movie.douban.com/subject/1889243/
疯狂动物城,9.2,https://movie.douban.com/subject/25662329/
楚门的世界,9.2,https://movie.douban.com/subject/1292064/
大话西游之大圣娶亲,9.2,https://movie.douban.com/subject/1292213/
三傻大闹宝莱坞,9.2,https://movie.douban.com/subject/3793023/
海上钢琴师,9.2,https://movie.douban.com/subject/1292001/
龙猫,9.2,https://movie.douban.com/subject/1291560/
教父,9.2,https://movie.douban.com/subject/1291841/
触不可及,9.2,https://movie.douban.com/subject/6786002/
鬼子来了,9.2,https://movie.douban.com/subject/1291858/
活着,9.2,https://movie.douban.com/subject/1292365/
乱世佳人,9.2,https://movie.douban.com/subject/1300267/
辩护人,9.2,https://movie.douban.com/subject/21937445/
摩登时代,9.2,https://movie.douban.com/subject/1294371/
小鞋子,9.2,https://movie.douban.com/subject/1303021/
七武士,9.2,https://movie.douban.com/subject/1295399/
东京物语,9.2,https://movie.douban.com/subject/1291568/
生活多美好,9.2,https://movie.douban.com/subject/1293749/
洞,9.2,https://movie.douban.com/subject/1424334/
摔跤吧！爸爸,9.1,https://movie.douban.com/subject/26387939/
无间道,9.1,https://movie.douban.com/subject/1307914/
蝙蝠侠：黑暗骑士,9.1,https://movie.douban.com/subject/1851857/
素媛,9.1,https://movie.douban.com/subject/21937452/
末代皇帝,9.1,https://movie.douban.com/subject/1293172/
窃听风暴,9.1,https://movie.douban.com/subject/1900841/
指环王3：王者无敌,9.1,https://movie.douban.com/subject/1291552/
天空之城,9.1,https://movie.douban.com/subject/1291583/
天堂电影院,9.1,https://movie.douban.com/subject/1291828/
教父2,9.1,https://movie.douban.com/subject/1299131/
饮食男女,9.1,https://movie.douban.com/subject/1291818/
忠犬八公物语,9.1,https://movie.douban.com/subject/1959195/
两杆大烟枪,9.1,https://movie.douban.com/subject/1293350/
美国往事,9.1,https://movie.douban.com/subject/1292262/
飞越疯人院,9.1,https://movie.douban.com/subject/1292224/
无人知晓,9.1,https://movie.douban.com/subject/1292337/
狩猎,9.1,https://movie.douban.com/subject/6985810/
钢琴家,9.1,https://movie.douban.com/subject/1296736/
天书奇谭,9.1,https://movie.douban.com/subject/1428581/
黄金三镖客,9.1,https://movie.douban.com/subject/1401118/
芙蓉镇,9.1,https://movie.douban.com/subject/1297880/
南海十三郎,9.1,https://movie.douban.com/subject/1303913/
怦然心动,9,https://movie.douban.com/subject/3319755/
少年派的奇幻漂流,9,https://movie.douban.com/subject/1929463/
当幸福来敲门,9,https://movie.douban.com/subject/1849031/
罗马假日,9,https://movie.douban.com/subject/1293839/
哈尔的移动城堡,9,https://movie.douban.com/subject/1308807/
闻香识女人,9,https://movie.douban.com/subject/1298624/
搏击俱乐部,9,https://movie.douban.com/subject/1292000/
死亡诗社,9,https://movie.douban.com/subject/1291548/
指环王2：双塔奇兵,9,https://movie.douban.com/subject/1291572/
穿条纹睡衣的男孩,9,https://movie.douban.com/subject/3008247/
小森林 冬春篇,9,https://movie.douban.com/subject/25814707/
海蒂和爷爷,9,https://movie.douban.com/subject/25958717/
一一,9,https://movie.douban.com/subject/1292434/
完美的世界,9,https://movie.douban.com/subject/1300992/
我爱你,9,https://movie.douban.com/subject/5908478/
雨中曲,9,https://movie.douban.com/subject/1293460/
飞屋环游记,8.9,https://movie.douban.com/subject/2129039/
大话西游之月光宝盒,8.9,https://movie.douban.com/subject/1299398/
狮子王,8.9,https://movie.douban.com/subject/1301753/
美丽心灵,8.9,https://movie.douban.com/subject/1306029/
黑客帝国,8.9,https://movie.douban.com/subject/1291843/
指环王1：魔戒再现,8.9,https://movie.douban.com/subject/1291571/
拯救大兵瑞恩,8.9,https://movie.douban.com/subject/1292849/
情书,8.9,https://movie.douban.com/subject/1292220/
